,detector,text_id,score,mutation,mutation_name
0,GPTZero,def_p_16,0.9826080317224812,def,Baseline
1,GPTZero,def_p_14,0.9977558223168834,def,Baseline
2,GPTZero,def_p_1,0.9977558223168834,def,Baseline
3,GPTZero,def_p_11,0.9973955738343496,def,Baseline
4,GPTZero,def_p_15,0.9092670190856504,def,Baseline
5,GPTZero,def_p_13,1.0,def,Baseline
6,GPTZero,def_p_17,0.9977558223168834,def,Baseline
7,GPTZero,def_p_12,0.9977558223168834,def,Baseline
8,GPTZero,def_p_0,0.9977558223168834,def,Baseline
9,GPTZero,def_p_10,0.9977775103937532,def,Baseline
10,GPTZero,def_p_19,0.9820821274401206,def,Baseline
11,GPTZero,def_p_4,0.9977558223168834,def,Baseline
12,GPTZero,def_p_7,1.0,def,Baseline
13,GPTZero,def_p_8,0.9977558223168834,def,Baseline
14,GPTZero,def_p_2,1.0,def,Baseline
15,GPTZero,def_p_18,0.9826080317224812,def,Baseline
16,GPTZero,def_p_3,0.9977558223168834,def,Baseline
17,GPTZero,def_p_6,0.9977775103937532,def,Baseline
18,GPTZero,def_p_9,0.9973955738343496,def,Baseline
19,GPTZero,def_p_5,0.9973955738343496,def,Baseline
40,GPTZero,tr_ar_p_0,0.9092670190856504,tr_ar,translation arabic
41,GPTZero,tr_ar_p_1,0.9250629722921914,tr_ar,translation arabic
42,GPTZero,tr_ar_p_10,0.9977558223168834,tr_ar,translation arabic
43,GPTZero,tr_ar_p_12,0.982932157729323,tr_ar,translation arabic
44,GPTZero,tr_ar_p_11,0.9092670190856504,tr_ar,translation arabic
45,GPTZero,tr_ar_p_14,0.9973955738343496,tr_ar,translation arabic
46,GPTZero,tr_ar_p_17,0.9977558223168834,tr_ar,translation arabic
47,GPTZero,tr_ar_p_16,0.982932157729323,tr_ar,translation arabic
48,GPTZero,tr_ar_p_13,0.982932157729323,tr_ar,translation arabic
49,GPTZero,tr_ar_p_15,0.6036507066806989,tr_ar,translation arabic
50,GPTZero,tr_ar_p_19,0.9825825322814176,tr_ar,translation arabic
51,GPTZero,tr_ar_p_18,1.0,tr_ar,translation arabic
52,GPTZero,tr_ar_p_3,0.982932157729323,tr_ar,translation arabic
53,GPTZero,tr_ar_p_4,0.9109374343376851,tr_ar,translation arabic
54,GPTZero,tr_ar_p_5,0.9104753354570072,tr_ar,translation arabic
55,GPTZero,tr_ar_p_6,0.9977558223168834,tr_ar,translation arabic
